content,score,preprocess
its a good game foreveaaaah,5,its a good foreveaaaah
jangan download game ini. grafiknya buusuk! cuma buang buang kuota data saja,1,jangan download grafik buusuk buang buang kuota data
game nya udah udah lumayan jago hero tapi malah ulang dari awal,4,lumayan jago hero tapi ulang
"skin Transformers Jonson nya kok ga masuk di mcgg ,padahal dah habis banyak diamond waktu draw di magic chase",1,skin transformers jonson tidak masuk habis diamond draw chase
Hadduuhhh,2,hadduuhhh
"game rusak... player lain gampang banget bikin hero gold 4/5 b3 d level 9 sedangkan saya level maks masih kesusahan bikin hero gold 4/5 b3... buat orang"" yg mau instal ini game pikir"" lagi.. sistem mcgg sama kayak mlbb.. d mana sistem nya membuat player lain hoki sedangkan kita sial terus",1,rusak player gampang hero gold bintang level level maks susah hero gold bintang orang install pikir sistem mlbb sistem player untung sial
"permainan terbaik,best games ever",5,main terbaikbest games ever
"gajelas, Hero kuat cuma kalo dipake musuh. Moskov B3 kalah Ama Ling B3, Tolak ukur Powernya Rusak. Mending Sistem dulu, Sekarang Pencipta sistemnya ga ngerti game ini. bodoh",1,hero kuat pakai musuh moskov bintang kalah ling bintang tolak ukur powernya rusak mending sistem cipta sistem tidak erti bodoh
tidak se enak mc di sebelumnya yang masih nyatu KEMBALIKAN MC SEPERTI KEMARIN GARA2 MC SEKARANG HAMPIR SEMUA TEMEN SAYA UDAH GA PADA MAIN LAGI,2,tidak enak nyatu kembali kemarin gara teman tidak
sangat menyenangkan dan asikk,5,senang asikk
scrol Hero nya TDK memuaskan,1,scrol hero tidak puas
tolong nerf Commander karina op banget tolong banget balikin jadi 15% sampai 25 % HP saja,1,tolong nerf commander karina op tolong balikin ponsel
bintang 4 aja KLO apl bisa menghasilkan uang baru bintang5,4,bintang aplikasi hasil uang bintang
"Bagus bangett, gamenya asik dan gak bikin bosen!. Ini game strategi yang mengharuskan kita untuk lebih fleksibel dalam memilih. Menurutku, Keberuntungan itu datang ke orang yang dapat memanfaatkan kesempatan dalam sistem, bukan yang hanya bergantung pada suatu sistem.",5,bagus asik tidak bosan strategi harus fleksibel pilih turut untung orang manfaat sempat sistem bukan gantung sistem
game idiot,1,idiot
katanya main nih game jadi santai malah emosian game ga jelas mending ff,1,nih santai emosi tidak mending ff
ok bagus,5,ok bagus
untuk segi gameplay gamenya sangat bagus dan seru jadi kasih bintang lima aja🥰,5,segi gameplay bagus seru bintang
So far so good,5,so far so good
"menurut saya ini bukan game satategi tapi game ngandelin lucky banget , tergantung masalh hoki juga",1,bukan satategi tapi ngandelin lucky gantung masalh untung
disconnect teruss game tolol,1,disconnect tolol
"Tiba tiba menghubungkan ulang, padahal sinyal bagus!",1,hubung ulang sinyal bagus
kumooohooonnn admin atassii segera masa aku login selalu kesalahan jaringan harap coba lagi padahal sinyal mencapai 2mb tetep ae r isooooooo kepengin main lgi ni,1,kumooohooonnn admin atassii login salah koneksi harap coba sinyal capai mbak r isooooooo pengin nih
"Game nya sangan seru dan heboh banget, sama aja kayak game honor of kinzs.",5,sangan seru heboh honor of kinzs
"gajelas, slot 5 yang harusnya 40% buat harga 2 gold yang keluar malah harga 3 gold terus",1,slot harga gold harga gold
makin kesini makin anzing gamenya.synergy gak pernah dapat.40 kali refresh gak dapat hero yg sesuai.giliran dah cantik susunannya ehhh satu hero franco gak dapat.game lebih totong dari totong,1,kesini anzing gamenyasynergy tidak refresh tidak hero sesuaigiliran cantik susun eh hero franco tidak dapatgame totong totong
"MIN TOLONG KEMBALIKAN MAGIC CHESS YANG DULU, KALO GA DUA DEH SAMA INI YANG DULU DI ADAIN LAGI",3,min tolong kembali tidak ada
game cupu kalo eru 99 langsung Hero aja jangan miror,1,cupu eru langsung hero jangan miror
bagus tapi update kelamaan mungkin update di server global mungkin biasa di percepat ya,4,bagus tapi update update server global cepat
game yang sangat bagus tapi ada comander yang sangat ngeselin yaitu wanwan,5,bagus tapi comander kesal wanwan
"setelah dipisah dari ML dan jadi apk sendiri, sangat buruk. hubungkan ke akun lama malah tetap jadi akun baru. maka solusinya langsung un-install dan nggak akan main apk ini lagi",1,pisah ml aplikasi buruk hubung akun akun solusi langsung uninstall aplikasi
"saya kecewa ketika pada saat saya menggunakan skil vale trus mengunci shop, selesai babak pertandingan selesai, hiro yang saya kunci di babak sebelumnya itu udah hilang, dan kunci hiro masi tetap terkunci",2,kecewa skil vale kunci shop selesai babak tanding selesai hiro kunci babak hilang kunci hiro kunci
moonton mungkin update berikutnya bisa ditambahin waktu teamfight jdi 1 menit 30 detik pdhl bisa comeback malah kalah karena waktu abis,4,update ditambahin teamfight menit detik comeback kalah habis
"shop sudah di lock eh malah di refresh di babak selanjutnya, dasar dark system😂",1,shop lock eh refresh babak dasar dark sistem
"jangan hanya dikasih mode practice nya ke konten kreator juga, semua player ingin merasakan mode practice, Hero semua gold, commandernya, lineup yg bagus, dan sinergi yang mau dipake juga. jadi tolong update game ini supaya semua player senang yg main dan have fun. terimakasih.",1,jangan kasih mode practice konten kreator player rasa mode practice hero gold commandernya lineup bagus sinergi pakai tolong update player senang have fun terimakasih
udah beberapa minggu ini mobile legend dan magic chess agak nge lag padahal untuk yang lain jaringan aman lancar .. hape 7 juta ke atas harganya juga,5,minggu mobile legend nge lag koneksi aman lancar hape juta harga
"dah tau gua hp nya burik dipindahin jadi black screen,balik in ke moonton yang dulu",2,ponsel burik dipindahin black screenbalik
"Kalah menang itu biasa,yang penting bikin happy aja karena cuma game..",5,kalah menang biasayang happy
mantaaaaaap,5,mantaaaaaap
"Gamenya sudah gak asyik, UNINSTAL saja.",1,tidak asyik uninstal
ngeleg nya parah banget jadi tolong diperbaiki lagi,5,lag parah tolong baik
game nya enak tapi Hero yang didapatkan saya tidak sesuai lineup,5,enak tapi hero dapat tidak sesuai lineup
santai min😇😇,5,santai min
seru bagus banget,5,seru bagus
apa laa ini permainan burik,2,main burik
ada bug hero tiba tiba hilang di chessboard,1,bug hero hilang chessboard
suka rilok sendiri tolong game perbagus,2,suka rilok tolong bagus
"overall bagus cuma ada hal yg sangat"" disayangkan, yaitu optimalisasi game ini masih terbilang kurang baik, saat saya bermain game ini banyak sekali frame drop parah yg tadinya 30-35 bisa menjadi 5-10 fps saja pada akhir"" ronde yg dimana ini sangat mengganggu sekali padahal saat saya bermain mlbb yg ukurannya lebih besar lancar lancar saja,, itu saja pesan saya untuk developer tercinta semoga optimalisasi game ini terus ditingkatkan.",4,overall bagus sayang optimalisasi bilang kurang main frame drop parah fps ronde mana ganggu main mlbb ukur lancar lancar pesan developer cinta moga optimalisasi tingkat
"sangat sulit untuk mencari hero di tier mytic honor, membuat saya stress dan ingin melempar phone saya",1,sulit cari hero tier mytic honor stres lempar phone
makin gak jelas masih mending yang sebelum di update,3,tidak mending update
"Makin kacau sistemnya sekarang , Hero yang 1 sinergi atau mau naik bintang susah keluar , Giliran hero lain yang beda sinergi muncul terus , Giliran nge roll malah susah lagi heronya",1,kacau sistem hero sinergi bintang susah gilir hero beda sinergi muncul gilir nge roll susah hero
game nya bagus gampang dan kalau mau naik bintang Susah banget cari heronya monton kalo gak dibaca pesan gua gua kasi bintang satu,1,bagus gampang bintang susah cari hero monton tidak baca pesan bintang
"Hero Minotaur terlalu overpower, tolong adakan nerf untuknya",4,hero minotaur overpower tolong adakan nerf untuk
game kikir developer kikir jangan main,1,kikir developer kikir jangan
"kecewa dengan update an sekarang, efek blesing harus di hilangkan, sangat tidak seru dimana 6 player bisa menggunakan 2 sinergi yang sama dengan full 6 hero, ujung ny bukan adu skill malah adu keberuntungan, yang dapat hero duluan yang menang.",2,kecewa update efek blesing hilang tidak seru mana player sinergi full hero ujung bukan adu skill adu untung hero duluan menang
untuk kombo domstrom memunculkan hanabi B3 jangan terlalu sakit repott yang roll bawah min,5,kombo domstrom muncul hanabi bintang jangan sakit repott roll min
"gamenya bikin kecewa , ga sesuai ekspetasi , monton tolong di kondisikan, kasih yang enak enak gitu kek heronya jangan mau main sinergi ini , malah munculnya itu, kecewa berat , sangat kurang rekomen",1,kecewa tidak sesuai ekspetasi monton tolong kondisi enak enak hero jangan sinergi muncul kecewa berat kurang rekomen
"game scam, update trus bug GK di urus",1,scam update bug tidak urus
"game nya seru, cuma developer tolong dong download data dalaman nya bisa di pause🙏,. Si Kaja Dateng kemari, segitu aja terimakasih",4,seru developer tolong download data dalam pause kaja kemari segitu terimakasih
"matching nya tolong lah benerin guoblok, masa iya honor 100 ketemu global 3 tolol banget matchingnya padahal solo",1,matching tolong benerin guoblok iya honor ketemu global tolol matchingnya solo
pertahankan,1,tahan
mntp pokok nya,5,mntp pokok
kecewa banget dari legend 2 turun ke legend 6 di season 2 ini padahal s1 seru banget main sampe mitik 32 gw terpaksa uninstall ini aplikasi bukan ngilangin stres malah tambah stres,1,kecewa legend turun legend season seru mitik paksa uninstall aplikasi bukan ngilangin stres stres
"bagus , tapi montonya kaya aga ngelunjak kalo dapet sinerginya 1 lagih",5,bagus tapi montonya aga ngelunjak sinergi lagih
"Sering banget dikasih roll rollan utk saling nabrak dgn player2 lain padahal sengaja ngalah main combo lain tp rollan tetep aja dikasih untuk nabrak, game ini bener2 ga sehat. 1. system yg sengaja buat player kesusahan bentuk combo, jadiin hero, dapet item apa dikasih rollan nya apa, ambil itelm magic dikasih rollan hero fisik, ambil item fisik aspd dikasih rollan hero magic. 2. system matching jika solo harusnya sesuai rank, tapi faktanya romawi pun bisa ketemu glory. 3. dll masih banyak.",1,kasih roll rollan nabrak player sengaja kalah combo tapi rollan kasih nabrak tidak sehat sistem sengaja player susah bentuk combo jadi hero item kasih rollan ambil itelm kasih rollan hero fisik ambil item fisik aspd kasih rollan hero sistem matching solo sesuai rank tapi fakta romawi ketemu glory dll
"tolong lh kalau pakai sinergi yang dipilih banyakin hero yang ada di sinergi, ini malah dimunculin hero hero yg nggak jelas bikin koin abis aja , malah dapat nya hero yg lain yg nggk di pakai bikin malas main aja",1,tolong pakai sinergi pilih banyak hero sinergi dimunculin hero hero koin habis hero pakai malas
gamenyg cukup seru...,4,gamenyg seru
"""Game ini menawarkan pengalaman yang luar biasa dengan gameplay yang seru dan menarik, memadukan elemen kompetisi yang membuat setiap pertandingan menjadi menegangkan. Desain grafis yang memukau dan mekanika permainan yang halus menjadikannya pilihan sempurna bagi para penggemar game yang mencari tantangan dan kesenangan.""",5,tawar alam gameplay seru tarik madu elemen kompetisi tanding tegang desain grafis pukau mekanika main halus jadi pilih sempurna gemar cari tantang senang
game di kasih kartu Hero harus nurutin kemauan server dan kalo apa yang kita mau ga keluar ga bakal di kasih kasih game apaan makin kecewa mobile legend kalau udah punya nama jadi ngatur segalanya 😂,1,kartu hero nurutin mau server tidak tidak kecewa mobile legend nama atur
"Yo matur nuwun Yo moonton,akun ku di gawe kalah wae pas main ga Popo,gawenen kalah terus,ga popo.ngalahke akun ku thok wae ora rugi koe..push rank /magic rune Podo ae malah mudun peringkat e.Iki menawa enek bintang 1000 mesti tak kek i.trus 3 akun ku ilang padahal pas gabung mlbb sering tak mainke,kari 1 Iki malah lose streak AE..",5,matur nuwun moontonakun gawe kalah wae tidak popogawenen kalah terusga popongalahke akun thok wae ora rugi koepush rank rune podo mudun peringkat eiki nawa enek bintang mesti itrus akun hilang gabung mlbb mainkekari iki lose streak
game seru dan menantang it is amazing,5,seru tantang is amazing
game burik gak mutu grafik cacat kek main catur,1,burik tidak mutu grafik cacat catur
"-1 jadi bintang 3 , selalu dipersulit, padahal udah late game",1,bintang sulit late
monton scam bngst,1,monton scam bngst
kenapa sekarang jadi patah patah kalo lagi war,3,patah patah war
godd,5,godd
sangat seru buat waktu luang,5,seru luang
game nya banyak cheat,1,cheat
"Game nya seru, Hard Thinking Dan Juga Tidak Bikin Bosan",5,seru hard thinking tidak bosan
game bagus dan memancing emosi,5,bagus pancing emosi
tolong jgn terlalu besar datanya biar hp ram 2 bisa maen juga,5,tolong jangan data biar ponsel ram
"sebenernya udah cukup baik tapi sekarang bayak mode mana lagi beda mode beda synergi, yang bikin susah itu kalo kita buat synergi contoh wm terus di slot ngasal semua, jadi kaya kalo menang itu dipaksa menang kalo kalah ya dipaksa kalah.",4,tapi bayak mode beda mode beda synergi susah synergi contoh wm slot ngasal menang paksa menang kalah paksa kalah
makin gk jelas 8 orang masa 3x ketemu orang yg sama di tambah rolannya pun gk jelas,2,tidak orang ketemu orang rol tidak
makasih ya moga lancar.,5,terima moga lancar
GM nya bagus,5,gm bagus
"saya suka dengan ada nya terpisah menjadi 2 aplikasi ini, Saya juga tetap aktif bermain MLBB dan MCGG. KLAU SAYA BOLEH SARAN, BISA TIDAK KETIKA BERMAIN MC GOGO TETAPI MISI PERMAINAN DI MLBB TETEP JALAN JUGA. KARENA SUSAH KETIKA ADA MISI BERMAIN BERKALI-KALI DI MLBB KAMI YG AKTIF MC GOGO HARUS GONTA-GANTI LOGIN APLIKASINYA. KARENA SEKARANG LEBIH BANYAK AKTIF DI MC GOGO, SEHINGA MISI DI MLBB TERTINGGAL JADI NYA. Terima kasih semoga ada perubahan nya.",5,suka pisah aplikasi aktif main mlbb saran tidak main gogo tetapi misi main mlbb jalan susah misi main berkalikali mlbb aktif gogo gontaganti login aplikasi aktif gogo sehinga misi mlbb tinggal terima moga ubah
keren asik pantas tik,5,keren asik tik
game apaa ini jir,1,jir
gak kayak dulu apk nya di pisah,5,tidak aplikasi pisah
sering lag tiba tiba padahal sinyal penuh pake wifi juga sama aja,3,lag sinyal penuh wifi
magic cas gogo bagus 👍,4,cas gogo bagus
"tidak rekomended untuk dimainkan, kemenangan tergantung nasib dan sistem, dikomplen lewat Customer Service jarang direspon, kalaupun ada respon kata-kata template, dan tidak ada perubahan, bagus untuk diuninstall",1,tidak rekomended main menang gantung nasib sistem dikomplen customer service jarang direspon respon katakata template tidak ubah bagus diuninstall
bagus banget coyy cobain deh,5,bagus coyy cobain
"Game hama. banyak Commander bisa ikut nyerang, game ngandalin hoki",1,hama commander serang ngandalin untung
"woi, commander kayak Miya, wanwan, sama karina dihapus lah, orang lagi posisi menang tiba tiba kalah diserang commander kayak gitu, game yang awalnya asik tiba tiba jadi ga asik selama ada commander yang bisa nyerang dari luar",1,commander miya wanwan karina hapus orang posisi menang kalah serang commander asik tidak asik commander serang
seru bngt dan ini aku dawunlod karena di ajarin kakak ku😊,5,seru dawunlod ajar kakak
game nya seru tapi kalo bisa sinergi nya di tambah,5,seru tapi sinergi
yes good,5,yes good
game yang gak pernah bikin bosan,5,tidak bosan
lumayan seru tapi juga bikin stress😖😭,4,lumayan seru tapi stres
Bener Game anjg gameplay gak seimbang,1,anjg gameplay tidak imbang
"gaje kalo mau menang harus hoki, terlalu mengandalkan keberuntungan kalo ga beruntung ya nyungsep, rate menemukan hero yang sama dengan sinergi sangat kecil fase LV 8,9,10 terlalu sering muncul Hero harga 3 gold padahal rate untuk gold 4 harusnya lebih tinggi dan terlalu susah untuk mendapatkan clone Hero dan biji sinergi. item damage tidak berasa kalo ga pake Gogo card game ini bukan strategi tapi lebih ke game gacha Hero lu lebih bagus lebih beruntung lu win.",1,menang untung andal untung tidak untung nyungsep rate temu hero sinergi fase lv muncul hero harga gold rate gold susah clone hero biji sinergi item damage tidak asa tidak gogo card bukan strategi tapi gacha hero lu bagus untung lu win
