preprocess,kata_kunci,score,predicted_aspect,details
ampas tidak recomemd gimiknya saran minding jangan nati emosi,"['minding', 'jangan', 'gimiknya', 'emosi', 'tidak', 'saran', 'ampas', 'recomemd', 'nati']","{'effectiveness': 2.55, 'satisfaction': 3.42}",satisfaction,"{'effectiveness': [('jangan', 'dukungan', 80.0), ('emosi', 'opsi', 85.71428571428572), ('saran', 'pemeriksaan', 88.88888888888889)], 'satisfaction': [('jangan', 'kesenangan', 90.9090909090909), ('emosi', 'membosankan', 80.0), ('ampas', 'puas', 85.71428571428572), ('nati', 'penat', 85.71428571428572)]}"
bagus main strategi,"['strategi', 'bagus', 'main']","{'effectiveness': 0, 'satisfaction': 2.66}",satisfaction,"{'effectiveness': [], 'satisfaction': [('strategi', 'setara', 80.0), ('bagus', 'bagus', 100.0), ('main', 'manfaat', 85.71428571428572)]}"
overall bagus mode practice player terkadang gamungkin uji coba kombo kerja commander ranked match ranked match kalah tidak commander,"['commander', 'player', 'match', 'practice', 'overall', 'ranked', 'uji', 'bagus', 'kombo', 'coba']","{'effectiveness': 0, 'satisfaction': 1.8}",satisfaction,"{'effectiveness': [], 'satisfaction': [('uji', 'mengakui', 80.0), ('bagus', 'bagus', 100.0)]}"
metch tidak imbang lapor keluh tidak respon,"['metch', 'tidak', 'keluh', 'respon', 'lapor', 'imbang']","{'effectiveness': 0.8, 'satisfaction': 1.0}",satisfaction,"{'effectiveness': [('lapor', 'lag', 80.0)], 'satisfaction': [('imbang', 'bimbang', 100.0)]}"
tonton replay pov main tonton fl pov main tonton replay dian fitur,"['replay', 'main', 'tonton', 'pov', 'fitur', 'fl', 'dian']","{'effectiveness': 0.86, 'satisfaction': 1.69}",satisfaction,"{'effectiveness': [('dian', 'ketelitian', 85.71428571428572)], 'satisfaction': [('main', 'manfaat', 85.71428571428572), ('tonton', 'monoton', 83.33333333333334)]}"
hibur jempol,"['hibur', 'jempol']","{'effectiveness': 0, 'satisfaction': 1.0}",satisfaction,"{'effectiveness': [], 'satisfaction': [('hibur', 'menghibur', 100.0)]}"
patch,['patch'],"{'effectiveness': 0, 'satisfaction': 0}",unknown,"{'effectiveness': [], 'satisfaction': []}"
keren pokok puas,"['pokok', 'keren', 'puas']","{'effectiveness': 0.8, 'satisfaction': 2.0}",satisfaction,"{'effectiveness': [('keren', 'kebenaran', 80.0)], 'satisfaction': [('keren', 'keren', 100.0), ('puas', 'kepuasan', 100.0)]}"
suka seru,"['suka', 'seru']","{'effectiveness': 0, 'satisfaction': 2.0}",satisfaction,"{'effectiveness': [], 'satisfaction': [('suka', 'suka', 100.0), ('seru', 'seru', 100.0)]}"
cocok suka main strategi,"['strategi', 'suka', 'cocok', 'main']","{'effectiveness': 0, 'satisfaction': 2.66}",satisfaction,"{'effectiveness': [], 'satisfaction': [('strategi', 'setara', 80.0), ('suka', 'suka', 100.0), ('main', 'manfaat', 85.71428571428572)]}"
anak sekolah nih,"['anak', 'sekolah', 'nih']","{'effectiveness': 0.8, 'satisfaction': 0.8}",effectiveness,"{'effectiveness': [('nih', 'meraih', 80.0)], 'satisfaction': [('nih', 'nilai', 80.0)]}"
ok pokok,"['pokok', 'ok']","{'effectiveness': 0, 'satisfaction': 0}",unknown,"{'effectiveness': [], 'satisfaction': []}"
alergi roal roal hama mending roll,"['alergi', 'roll', 'hama', 'roal', 'mending']","{'effectiveness': 0.86, 'satisfaction': 1.78}",satisfaction,"{'effectiveness': [('hama', 'hambatan', 85.71428571428572)], 'satisfaction': [('hama', 'aman', 85.71428571428572), ('mending', 'meningkatkan', 92.3076923076923)]}"
seru main ml,"['ml', 'seru', 'main']","{'effectiveness': 0, 'satisfaction': 1.86}",satisfaction,"{'effectiveness': [], 'satisfaction': [('seru', 'seru', 100.0), ('main', 'manfaat', 85.71428571428572)]}"
kntl scam,"['scam', 'kntl']","{'effectiveness': 0, 'satisfaction': 0.86}",satisfaction,"{'effectiveness': [], 'satisfaction': [('scam', 'samar', 85.71428571428572)]}"
goblok,['goblok'],"{'effectiveness': 0, 'satisfaction': 0}",unknown,"{'effectiveness': [], 'satisfaction': []}"
asyik and seru,"['asyik', 'seru']","{'effectiveness': 0, 'satisfaction': 1.0}",satisfaction,"{'effectiveness': [], 'satisfaction': [('seru', 'seru', 100.0)]}"
burikkkk,['burikkkk'],"{'effectiveness': 0.8, 'satisfaction': 0.8}",satisfaction,"{'effectiveness': [('burikkkk', 'bug', 80.0)], 'satisfaction': [('burikkkk', 'buruk', 80.0)]}"
asik tapi pisah mlbb chessboard pindah hilang chessboard kungfu panda tolong chessboardnya kembali solusi lumayan gacanya,"['chessboardnya', 'chessboard', 'kungfu', 'panda', 'pindah', 'asik', 'solusi', 'tolong', 'kembali', 'gacanya']","{'effectiveness': 2.86, 'satisfaction': 0.86}",effectiveness,"{'effectiveness': [('asik', 'akurasi', 85.71428571428572), ('solusi', 'solusi', 100.0), ('tolong', 'pertolongan', 100.0)], 'satisfaction': [('asik', 'motivasi', 85.71428571428572)]}"
mantap solo,"['solo', 'mantap']","{'effectiveness': 0.86, 'satisfaction': 1.0}",satisfaction,"{'effectiveness': [('solo', 'solusi', 85.71428571428572)], 'satisfaction': [('mantap', 'mantap', 100.0)]}"
favorite seru,"['favorite', 'seru']","{'effectiveness': 0, 'satisfaction': 1.0}",satisfaction,"{'effectiveness': [], 'satisfaction': [('seru', 'seru', 100.0)]}"
tingkat commander auroraperolehan hadiah skillnya unfairsebagai contoh pakai aurora matchdari match hadiah gold exp commander kalimohon optimal,"['commander', 'skillnya', 'aurora', 'auroraperolehan', 'unfairsebagai', 'optimal', 'match', 'gold', 'matchdari', 'hadiah']","{'effectiveness': 0.8, 'satisfaction': 1.86}",satisfaction,"{'effectiveness': [('unfairsebagai', 'sebagian', 80.0)], 'satisfaction': [('optimal', 'malu', 85.71428571428572), ('hadiah', 'hadiah', 100.0)]}"
seru permainana tapi jangan jahat sinergi eruditioa gann,"['permainana', 'eruditioa', 'tapi', 'sinergi', 'jahat', 'jangan', 'seru', 'gann']","{'effectiveness': 1.66, 'satisfaction': 5.48}",satisfaction,"{'effectiveness': [('jangan', 'dukungan', 80.0), ('gann', 'dukungan', 85.71428571428572)], 'satisfaction': [('eruditioa', 'seru', 85.71428571428572), ('tapi', 'mantap', 85.71428571428572), ('jahat', 'jahat', 100.0), ('jangan', 'kesenangan', 90.9090909090909), ('seru', 'seru', 100.0), ('gann', 'kesenangan', 85.71428571428572)]}"
asyik lumayan seru,"['asyik', 'lumayan', 'seru']","{'effectiveness': 0, 'satisfaction': 2.0}",satisfaction,"{'effectiveness': [], 'satisfaction': [('lumayan', 'lumayan', 100.0), ('seru', 'seru', 100.0)]}"
this is good,['good'],"{'effectiveness': 0, 'satisfaction': 0}",unknown,"{'effectiveness': [], 'satisfaction': []}"
alam suka tambah tombol beralihke aplikasi mobile legend legend mobile lagend terimakasih,"['legend', 'mobile', 'aplikasi', 'tombol', 'alam', 'lagend', 'terimakasih', 'suka', 'beralihke', 'tambah']","{'effectiveness': 3.52, 'satisfaction': 3.57}",satisfaction,"{'effectiveness': [('legend', 'pengendalian', 83.33333333333334), ('alam', 'kendala', 85.71428571428572), ('lagend', 'lag', 100.0), ('beralihke', 'meraih', 83.33333333333334)], 'satisfaction': [('legend', 'lega', 85.71428571428572), ('terimakasih', 'malas', 80.0), ('suka', 'suka', 100.0), ('tambah', 'menambah', 90.9090909090909)]}"
download gila tharz nerf gila gila nerf imbang tolol bukan lumpuh tidak harap tharz tolollll,"['tharz', 'lumpuh', 'nerf', 'download', 'tolol', 'tolollll', 'gila', 'imbang', 'harap', 'tidak']","{'effectiveness': 1.6, 'satisfaction': 2.0}",satisfaction,"{'effectiveness': [('tolol', 'pertolongan', 80.0), ('gila', 'lag', 80.0)], 'satisfaction': [('imbang', 'bimbang', 100.0), ('harap', 'harapan', 100.0)]}"
mantap anying pkokna mah,"['pkokna', 'mah', 'anying', 'mantap']","{'effectiveness': 0.8, 'satisfaction': 2.0}",satisfaction,"{'effectiveness': [('mah', 'maksud', 80.0)], 'satisfaction': [('mah', 'lemah', 100.0), ('mantap', 'mantap', 100.0)]}"
mode nostalgia crystal rune update crystal empirie jaman jangan mode rank update biar tidak bosan mode nostalgia terima,"['crystal', 'nostalgia', 'jaman', 'mode', 'rune', 'update', 'terima', 'empirie', 'biar', 'bosan']","{'effectiveness': 0.8, 'satisfaction': 2.8}",satisfaction,"{'effectiveness': [('crystal', 'stabil', 80.0)], 'satisfaction': [('jaman', 'aman', 100.0), ('terima', 'terang', 80.0), ('bosan', 'bosan', 100.0)]}"
segi gameplay tarik sypermainan sedikit asah otak main strategi gabung sinergi tim kuatpilihan comander,"['gameplay', 'gabung', 'tim', 'strategi', 'sinergi', 'kuatpilihan', 'tarik', 'sypermainan', 'otak', 'segi']","{'effectiveness': 1.0, 'satisfaction': 5.55}",satisfaction,"{'effectiveness': [('kuatpilihan', 'pilihan', 100.0)], 'satisfaction': [('gabung', 'gabut', 88.88888888888889), ('tim', 'timpang', 100.0), ('strategi', 'setara', 80.0), ('kuatpilihan', 'kuat', 100.0), ('tarik', 'tertarik', 100.0), ('segi', 'segar', 85.71428571428572)]}"
suka mentok loading hapus masuk tolong prebauri,"['mentok', 'loading', 'tolong', 'hapus', 'suka', 'masuk', 'prebauri']","{'effectiveness': 1.8, 'satisfaction': 2.71}",satisfaction,"{'effectiveness': [('tolong', 'pertolongan', 100.0), ('masuk', 'maksud', 80.0)], 'satisfaction': [('hapus', 'puas', 85.71428571428572), ('suka', 'suka', 100.0), ('masuk', 'suka', 85.71428571428572)]}"
koneksi hilang timbul,"['koneksi', 'hilang', 'timbul']","{'effectiveness': 0, 'satisfaction': 0.89}",satisfaction,"{'effectiveness': [], 'satisfaction': [('hilang', 'luang', 88.88888888888889)]}"
asuu putar level lawan level emblem belum lengkap lawan emblem sistem nih tidak beres,"['emblem', 'level', 'lawan', 'sistem', 'putar', 'lengkap', 'beres', 'nih', 'tidak', 'belum']","{'effectiveness': 3.4, 'satisfaction': 2.49}",effectiveness,"{'effectiveness': [('emblem', 'problem', 80.0), ('lawan', 'kesalahan', 80.0), ('lengkap', 'lengkap', 100.0), ('nih', 'meraih', 80.0)], 'satisfaction': [('lawan', 'kelelahan', 80.0), ('beres', 'bersemangat', 88.88888888888889), ('nih', 'nilai', 80.0)]}"
keren lahhhh,"['keren', 'lahhhh']","{'effectiveness': 1.6, 'satisfaction': 1.0}",effectiveness,"{'effectiveness': [('keren', 'kebenaran', 80.0), ('lahhhh', 'lag', 80.0)], 'satisfaction': [('keren', 'keren', 100.0)]}"
bagus pis,"['bagus', 'pis']","{'effectiveness': 0.8, 'satisfaction': 1.8}",satisfaction,"{'effectiveness': [('pis', 'pilihan', 80.0)], 'satisfaction': [('bagus', 'bagus', 100.0), ('pis', 'praktis', 80.0)]}"
senang online bukan gamers tapi tarik tidak bosan,"['online', 'gamers', 'bosan', 'senang', 'tarik', 'bukan', 'tidak', 'tapi']","{'effectiveness': 0.8, 'satisfaction': 4.66}",satisfaction,"{'effectiveness': [('bukan', 'bug', 80.0)], 'satisfaction': [('bosan', 'bosan', 100.0), ('senang', 'kesenangan', 100.0), ('tarik', 'tertarik', 100.0), ('bukan', 'menurunkan', 80.0), ('tapi', 'mantap', 85.71428571428572)]}"
seruuuuuuuu,['seruuuuuuuu'],"{'effectiveness': 0, 'satisfaction': 1.0}",satisfaction,"{'effectiveness': [], 'satisfaction': [('seruuuuuuuu', 'seru', 100.0)]}"
nice suka kurang pahambterutama rank rendah tapi gapp nikmat,"['nice', 'nikmat', 'suka', 'pahambterutama', 'kurang', 'rendah', 'tapi', 'gapp', 'rank']","{'effectiveness': 0.86, 'satisfaction': 5.48}",satisfaction,"{'effectiveness': [('rank', 'kebenaran', 85.71428571428572)], 'satisfaction': [('nikmat', 'nikmat', 100.0), ('suka', 'suka', 100.0), ('pahambterutama', 'aman', 85.71428571428572), ('kurang', 'curang', 90.9090909090909), ('tapi', 'mantap', 85.71428571428572), ('rank', 'rancu', 85.71428571428572)]}"
seru cuman developer cpet ngerubah sinergi,"['developer', 'sinergi', 'cpet', 'ngerubah', 'cuman', 'seru']","{'effectiveness': 0, 'satisfaction': 1.89}",satisfaction,"{'effectiveness': [], 'satisfaction': [('cuman', 'hukuman', 88.88888888888889), ('seru', 'seru', 100.0)]}"
tolong kartu lawan tidak intip biasa curang mana kartu tidak intaipayah ngebiasain curang,"['curang', 'lawan', 'ngebiasain', 'tolong', 'biasa', 'tidak', 'mana', 'kartu', 'intip', 'intaipayah']","{'effectiveness': 1.8, 'satisfaction': 3.46}",satisfaction,"{'effectiveness': [('lawan', 'kesalahan', 80.0), ('tolong', 'pertolongan', 100.0)], 'satisfaction': [('curang', 'curang', 100.0), ('lawan', 'kelelahan', 80.0), ('biasa', 'kegembiraan', 80.0), ('mana', 'manfaat', 85.71428571428572)]}"
size gede,"['size', 'gede']","{'effectiveness': 0, 'satisfaction': 0}",unknown,"{'effectiveness': [], 'satisfaction': []}"
bagus bosan,"['bosan', 'bagus']","{'effectiveness': 0, 'satisfaction': 2.0}",satisfaction,"{'effectiveness': [], 'satisfaction': [('bosan', 'bosan', 100.0), ('bagus', 'bagus', 100.0)]}"
kesini jelek teman belum download aplikasi sarang jangan coba tidak jelek anjir anjir,"['jangan', 'belum', 'anjir', 'teman', 'jelek', 'tidak', 'sarang', 'kesini', 'coba', 'aplikasi']","{'effectiveness': 1.6, 'satisfaction': 3.57}",satisfaction,"{'effectiveness': [('jangan', 'dukungan', 80.0), ('sarang', 'pemeriksaan', 80.0)], 'satisfaction': [('jangan', 'kesenangan', 90.9090909090909), ('teman', 'aman', 85.71428571428572), ('jelek', 'jelek', 100.0), ('sarang', 'curang', 80.0)]}"
bagus cocok mainin santai minus gantung hoki bintang,"['santai', 'hoki', 'gantung', 'cocok', 'bagus', 'bintang', 'mainin', 'minus']","{'effectiveness': 0, 'satisfaction': 2.8}",satisfaction,"{'effectiveness': [], 'satisfaction': [('santai', 'santai', 100.0), ('bagus', 'bagus', 100.0), ('bintang', 'tenang', 80.0)]}"
tidak sinergi scam,"['scam', 'sinergi', 'tidak']","{'effectiveness': 0, 'satisfaction': 0.86}",satisfaction,"{'effectiveness': [], 'satisfaction': [('scam', 'samar', 85.71428571428572)]}"
grafik indah tapi kadang suka ngefrezze error koneksi putus kadang suka susah ditouch fungsi lcd suka stag epic naik tier korban bintang sedikit rugi tapi alhamdulillah tidak terimakasih memori penuh,"['grafik', 'ngefrezze', 'lcd', 'rugi', 'bintang', 'suka', 'ditouch', 'putus', 'stag', 'koneksi']","{'effectiveness': 0.86, 'satisfaction': 2.8}",satisfaction,"{'effectiveness': [('stag', 'stabil', 85.71428571428572)], 'satisfaction': [('bintang', 'tenang', 80.0), ('suka', 'suka', 100.0), ('putus', 'putus asa', 100.0)]}"
tarohan untung,"['tarohan', 'untung']","{'effectiveness': 0, 'satisfaction': 0}",unknown,"{'effectiveness': [], 'satisfaction': []}"
haha ezzz dek,"['ezzz', 'haha', 'dek']","{'effectiveness': 0.8, 'satisfaction': 0.8}",effectiveness,"{'effectiveness': [('dek', 'detail', 80.0)], 'satisfaction': [('dek', 'capek', 80.0)]}"
nostalgia,['nostalgia'],"{'effectiveness': 0, 'satisfaction': 0}",unknown,"{'effectiveness': [], 'satisfaction': []}"
tidak bagus aneh bangt lebih lebih commander karina yuk ruby sumpah norak sun gatot dasar harga bintang bintang tapi kalah ruby yuk bintang lebayyy sumpah anehhh btw teman teman jangan download nih karina yuk nerf sarana lanjur lebay,"['ruby', 'yuk', 'lanjur', 'bintang', 'bangt', 'dasar', 'nih', 'karina', 'teman', 'norak']","{'effectiveness': 3.29, 'satisfaction': 4.15}",satisfaction,"{'effectiveness': [('lanjur', 'lag', 80.0), ('bangt', 'bantuan', 88.88888888888889), ('nih', 'meraih', 80.0), ('norak', 'normal', 80.0)], 'satisfaction': [('yuk', 'buruk', 80.0), ('bintang', 'tenang', 80.0), ('bangt', 'bimbang', 88.88888888888889), ('nih', 'nilai', 80.0), ('teman', 'aman', 85.71428571428572)]}"
keren bro,"['keren', 'bro']","{'effectiveness': 0.8, 'satisfaction': 1.8}",satisfaction,"{'effectiveness': [('keren', 'kebenaran', 80.0)], 'satisfaction': [('keren', 'keren', 100.0), ('bro', 'bonus', 80.0)]}"
tolong hapus comander wanwan miya layla lukas comander malas mikir hapus tolong tambah band tier matik,"['mikir', 'matik', 'layla', 'miya', 'comander', 'tambah', 'lukas', 'tolong', 'hapus', 'wanwan']","{'effectiveness': 1.8, 'satisfaction': 3.46}",satisfaction,"{'effectiveness': [('layla', 'lag', 80.0), ('tolong', 'pertolongan', 100.0)], 'satisfaction': [('matik', 'menikmati', 88.88888888888889), ('tambah', 'menambah', 90.9090909090909), ('hapus', 'puas', 85.71428571428572), ('wanwan', 'kekecewaan', 80.0)]}"
ajar nentuin matchnya minus sistem acak mu,"['matchnya', 'acak', 'nentuin', 'mu', 'ajar', 'minus', 'sistem']","{'effectiveness': 1.0, 'satisfaction': 1.0}",effectiveness,"{'effectiveness': [('mu', 'mulus', 100.0)], 'satisfaction': [('mu', 'mudah', 100.0)]}"
hapus comander miya layla wanwan gogo tidak seru semenjak comander campur tempur,"['gogo', 'wanwan', 'layla', 'comander', 'miya', 'tempur', 'seru', 'semenjak', 'hapus', 'tidak']","{'effectiveness': 0.8, 'satisfaction': 2.66}",satisfaction,"{'effectiveness': [('layla', 'lag', 80.0)], 'satisfaction': [('wanwan', 'kekecewaan', 80.0), ('seru', 'seru', 100.0), ('hapus', 'puas', 85.71428571428572)]}"
seru tapi kadang adil kadang tidak adil,"['adil', 'kadang', 'tapi', 'tidak', 'seru']","{'effectiveness': 0.86, 'satisfaction': 3.66}",satisfaction,"{'effectiveness': [('adil', 'detail', 85.71428571428572)], 'satisfaction': [('adil', 'adil', 100.0), ('kadang', 'sedang', 80.0), ('tapi', 'mantap', 85.71428571428572), ('seru', 'seru', 100.0)]}"
rusak sampah ok hilang jenuh gameplay fair kacau damage tidak hero lineup susah sampah,"['kacau', 'rusak', 'sampah', 'gameplay', 'hilang', 'damage', 'susah', 'lineup', 'hero', 'fair']","{'effectiveness': 1.86, 'satisfaction': 4.38}",satisfaction,"{'effectiveness': [('rusak', 'rusak', 100.0), ('hero', 'eror', 85.71428571428572)], 'satisfaction': [('rusak', 'frustasi', 80.0), ('sampah', 'samar', 80.0), ('hilang', 'luang', 88.88888888888889), ('damage', 'damai', 88.88888888888889), ('susah', 'susah', 100.0)]}"
sangatt hibur,"['sangatt', 'hibur']","{'effectiveness': 0, 'satisfaction': 1.83}",satisfaction,"{'effectiveness': [], 'satisfaction': [('sangatt', 'semangat', 83.33333333333334), ('hibur', 'menghibur', 100.0)]}"
ribet tidak konsisten senang roll,"['roll', 'ribet', 'konsisten', 'senang', 'tidak']","{'effectiveness': 0, 'satisfaction': 1.8}",satisfaction,"{'effectiveness': [], 'satisfaction': [('ribet', 'ribut', 80.0), ('senang', 'kesenangan', 100.0)]}"
enakeun,['enakeun'],"{'effectiveness': 0, 'satisfaction': 0}",unknown,"{'effectiveness': [], 'satisfaction': []}"
koplok,['koplok'],"{'effectiveness': 0, 'satisfaction': 0}",unknown,"{'effectiveness': [], 'satisfaction': []}"
naikin bintang susahturun gampang bintangskali turun bintang tidak jls sinergi susah,"['bintangskali', 'bintang', 'susahturun', 'susah', 'sinergi', 'naikin', 'turun', 'gampang', 'tidak', 'jls']","{'effectiveness': 0, 'satisfaction': 5.4}",satisfaction,"{'effectiveness': [], 'satisfaction': [('bintang', 'tenang', 80.0), ('susahturun', 'susah', 100.0), ('susah', 'susah', 100.0), ('naikin', 'yakin', 80.0), ('turun', 'menurunkan', 80.0), ('gampang', 'gampang', 100.0)]}"
seru cuman tidak enak nyawa lawan winpdhl gede hro nyasering nak comeback musuh,"['lawan', 'musuh', 'gede', 'nyasering', 'comeback', 'hro', 'seru', 'tidak', 'nyawa', 'enak']","{'effectiveness': 1.6, 'satisfaction': 3.49}",satisfaction,"{'effectiveness': [('lawan', 'kesalahan', 80.0), ('nyawa', 'pengawasan', 80.0)], 'satisfaction': [('lawan', 'kelelahan', 80.0), ('musuh', 'rusuh', 88.88888888888889), ('seru', 'seru', 100.0), ('nyawa', 'nyaman', 80.0)]}"
tidak nih ngikut mlbb atur malas aplikasi kembar watak byee,"['nih', 'aplikasi', 'byee', 'atur', 'watak', 'ngikut', 'kembar', 'tidak', 'malas', 'mlbb']","{'effectiveness': 0.8, 'satisfaction': 2.66}",satisfaction,"{'effectiveness': [('nih', 'meraih', 80.0)], 'satisfaction': [('nih', 'nilai', 80.0), ('ngikut', 'kuat', 85.71428571428572), ('malas', 'malas', 100.0)]}"
bagus kembang,"['bagus', 'kembang']","{'effectiveness': 0, 'satisfaction': 1.86}",satisfaction,"{'effectiveness': [], 'satisfaction': [('bagus', 'bagus', 100.0), ('kembang', 'seimbang', 85.71428571428572)]}"
tampil bagus in menang atur sistem untung sampah koneksi lag habis menang poin kalah pulang duluan min bye najis,"['habis', 'menang', 'kalah', 'atur', 'untung', 'sampah', 'tampil', 'duluan', 'bagus', 'poin']","{'effectiveness': 1.69, 'satisfaction': 4.6}",satisfaction,"{'effectiveness': [('kalah', 'masalah', 88.88888888888889), ('tampil', 'detail', 80.0)], 'satisfaction': [('menang', 'tenang', 90.9090909090909), ('sampah', 'samar', 80.0), ('tampil', 'tampilan', 100.0), ('duluan', 'luang', 88.88888888888889), ('bagus', 'bagus', 100.0)]}"
